group,seawater,freshwater,area
hykd,0,0,2150.231
hykd,0,0,1242.831
hykd,0,0,961.048
hykd,0,0,1333.907
hykd,0,0,1091.976
hykd,0,0,1206.341
hykd,0,0,1331.039
hykd,0,0,1231.557
hykd,0,0,1090.938
hykd,0,0,1258.208
hykd,0,0,1380.978
hykd,0,0,793.086
hykd,0,0,742.603
hykd,0,0,696.669
hykd,0,0,991.555
hykd,0,0,1258.9
hykd,0,1,993.73
hykd,0,1,1134.647
hykd,0,1,1164.214
hykd,0,1,875.46
hykd,0,1,1106.513
hykd,0,1,769.847
hykd,0,1,1209.406
hykd,0,1,1133.905
hykd,0,1,856.424
hykd,0,1,1321.744
hykd,0,1,784.235
hykd,0,1,758.673
hykd,0,1,790.96
hykd,0,1,1218.257
hykd,0,1,904.582
hykd,0,1,1003.965
hykd,0,1,943.643
hykd,0,1,823.148
hykd,0,1,1148.639
hykd,0,1,1155.413
